"recno","Timestamp","Observer","Location","Desg","Date","m1","diam","dc","pa","scope","comments","url"
"39","2002-05-31 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","2002/05/31","14.89","10""","3/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet large and diffuse, no tail.",""
"40","2002-05-23 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","2002/05/23","14.11","11""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Round and diffuse, quite faint.",""
"41","2002-05-21 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","2002/05/21","14.09","22""","3/9","210?","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Stuby elongation in PA 210 degrees, high cirrus, moonlight.",""
"42","2002-05-19 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","2002/05/19","14.56","10""","4/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet appears diffuse and round, very clear and dark sky.","2002_H2_0519.jpg"
"43","2002-05-14 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","2002/05/14","14.66","31""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet appears nearly stellar at core, perhaps superimposed over a 15th mag. star. Large and diffuse.",""
"44","2002-05-07 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","2002/05/07","14.16","3""","7/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","No tail, tiny and round, nebulous; comet is surprisingly small tonight, in spite of deep clear and ark skies.",""
"45","2002-04-29 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","2002/04/29","14.28","5""","2/9","255","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Not actually a tail, but the comet appears elongated in the 255 degree point.",""
"46","2002-06-12 00:00:00","P. Clay Sherrod","ASO - Conway","C/2001 K5 (LINEAR)","2002/06/12","14.27","8""","4/9","170","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Slim possiblity of tail in PA 170 d.  Poor conditions with clouds; diffuse and faint.",""
"47","2002-06-12 00:00:00","P. Clay Sherrod","ASO - Conway","C/2001 N2 (LINEAR)","2002/06/12","14.21","8""","2/9","202","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Short fan tail for 15"" length; comet is small and diffuse with no central condensation.",""
"48","2002-06-08 00:00:00","P. Clay Sherrod","ASO - Conway","C/2001 N2 (LINEAR)","2002/06/08","14.62","8""","3/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Conditions very poor and likely affecting data.",""
"51","2002-06-12 00:00:00","P. Clay Sherrod","ASO - Conway","C/1999 J2 Skiff","2002/06/12","16.11","9""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet is very round, small, with distinct diffuse coma, no condensation at all.",""
"52","2002-06-08 00:00:00","P. Clay Sherrod","ASO - Conway","C/1999 J2 Skiff","2002/06/08","15.99","3""","3/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet tiny and round, uniformly diffuse, poor conditions.",""
"53","2002-06-04 00:00:00","P. Clay Sherrod","ASO - Conway","C/1999 J2 Skiff","2002/06/04","16.07","5""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet nearly stellar but diffuse; uniformly round with no tail nor extension.",""
"54","2002-05-19 00:00:00","P. Clay Sherrod","ASO - Conway","C/1999 J2 Skiff","2002/05/19","15.19","3""","3/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet is tinyh and nearly stellar appearing; very deep skies; comet verified via 3 sets of images, 20 minutes apart.",""
"55","2002-04-25 00:00:00","P. Clay Sherrod","ASO - Conway","C/1999 J2 Skiff","2002/04/25","14.38","2""","1/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet could be mistaken for star if it were not for motion in 2-hour period to confirm; very difficult.",""
"56","2002-04-18 00:00:00","P. Clay Sherrod","ASO - Conway","C/1999 J2 Skiff","2002/04/18","13.81","4""","7/9","356?","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Possible tail in PA 356, or extension of coma, measuring 3-5"" length; conditions not good with moderate haze.",""
"57","2002-06-12 00:00:00","P. Clay Sherrod","ASO - Conway","74P Smirnova-Chermykh","2002/06/12","15.58","5""","2.9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Possible stubby tail extension in PA 180; comet is very small and faint, but clearly nebulous.",""
"58","2002-06-06 00:00:00","P. Clay Sherrod","ASO - Conway","74P Smirnova-Chermykh","2002/06/06","16.18","8""","3/9","110-182","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","A very broad and short (15"") fan tail extends from PA 110 to 182 deg.  Very interesting sight; comet is distinctly and uniformly bright in coma; very deep clear skies.",""
"59","2002-06-02 00:00:00","P. Clay Sherrod","ASO - Conway","74P Smirnova-Chermykh","2002/06/02","14.69","3""","8/9","n/aq","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Conditions are less than perfect, but comet is distinctly seen as a small, nearly stellar, nebulous patch.",""
"60","2002-06-01 00:00:00","P. Clay Sherrod","ASO - Conway","74P Smirnova-Chermykh","2002/06/01","14.68","3""","9/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet confirmed via 1-hour motion; nearly stellar but a hint of peripheral nebulosity.",""
"61","2002-05-19 00:00:00","P. Clay Sherrod","ASO - Conway","74P Smirnova-Chermykh","2002/05/19","15.99","2""","7/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Excellent sky conditions, with LM of 17.8; comet is clearly diffuse against a rich star field.",""
"62","2002-05-14 00:00:00","P. Clay Sherrod","ASO - Conway","74P Smirnova-Chermykh","2002/05/14","16.46","3""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Tiny round and diffuse in near-perfectly clear and dark sky.",""
"63","2002-04-23 00:00:00","P. Clay Sherrod","ASO - Conway","74P Smirnova-Chermykh","2002/04/23","15.74","2""","8/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Appears stellar except for confirming motion in 1.15 hour duration; some bit of nebulosity; strong moon to west.",""
"64","2002-04-25 00:00:00","P. Clay Sherrod","ASO - Conway","74P Smirnova-Chermykh","2002/04/25","15.19","4""","2/9","n/a?","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet distinctly ellipsoid in coma.",""
"68","2002-06-02 00:00:00","P. Clay Sherrod","ASO - Conway","24P Schaumasse","2002/06/02","15.19","4""","5/9","225","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Short tail or extension detected for 8"" at PA 225; comet is round, diffuse and difficult in moonlight.",""
"69","2002-05-23 00:00:00","P. Clay Sherrod","ASO - Conway","7P Pons-Winnecke","2002/05/23","<16.2","n/a","","","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet continues to elude capture on CCD; very faint, perhaps nearly stellar; blinking for motion does not reveal an object on this date.",""
"70","2002-04-18 00:00:00","P. Clay Sherrod","ASO - Conway","7P Pons-Winnecke","2002/04/18","12.87","2""","9/10","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Nearly perfectly stellar and confirmed via 1.5 hour motion though blink.",""
"71","2002-03-10 00:00:00","P. Clay Sherrod","ASO - Conway","7P Pons-Winnecke","2002/03/10","16.16","4""","7/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Nearly stellar; confirmed via blink per motion.",""
"72","2002-05-14 00:00:00","P. Clay Sherrod","ASO - Conway","115P Maury","2002/05/14","16.44","3""","8/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet extremely faint and stellar; identified through blink motion.",""
"73","2002-04-23 00:00:00","P. Clay Sherrod","ASO - Conway","115P Maury","2002/04/23","16.07","2""","8/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet very small; slightly nebulous, confirmed via 40-min. motion against star field in blink.",""
"74","2002-05-14 00:00:00","P. Clay Sherrod","ASO - Conway","P/2001 OG108 - ( LONEOS)","2002/05/14","15.69","2""","8/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Stellar, with a bit of nebulosity at periphery; confirmed via 30-min motion in star field, blink comparator.",""
"75","2002-05-05 00:00:00","P. Clay Sherrod","ASO - Conway","P/2001 OG108 - ( LONEOS)","2002/05/05","14.82","2""","8/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","This comet is not as bright as reported, at least on this night; nearly stellar with I.D. confirmed from 40-min drift via blink comparator from images.",""
"76","2002-04-25 00:00:00","P. Clay Sherrod","ASO - Conway","P/2001 OG108 - ( LONEOS)","2002/04/25","14.26","2""","8/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Very difficult and stellar in strong moonlight nearby; comet verified via blink comparator, 3 images, one hour.",""
"78","2002-05-14 00:00:00","P. Clay Sherrod","ASO - Conway","65P - Gunn","2002/05/14","14.52","4""","2/9","135","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Short tail extends 6"" length; comet small and nebulous in very dark skies.",""
"83","2002-04-16 00:00:00","P. Clay Sherrod","ASO - Conway","65P - Gunn","2002/04/16","15.16","4""","2/9","none","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet appears as fuzzy very faint star; motion appreciable in 30 minute period; very thick clouds moving in.",""
"84","2002-04-19 00:00:00","P. Clay Sherrod","ASO - Conway","65P - Gunn","2002/04/19","14.93","4""","2/9","115","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Stubby distinct tail in PA 115; very difficult tonight due to proximity of 10th mag. star; round a diffuse.",""
"86","2002-04-12 00:00:00","P. Clay Sherrod","ASO - Conway","65P - Gunn","2002/04/12","15.10","15""","2/9","281","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Nice 9"" long broad fan tail imaged; some light pollution in minor hazy sky.",""
"87","2002-04-11 00:00:00","P. Clay Sherrod","ASO - Conway","65P - Gunn","2002/04/11","15.01","8""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Very wide and open diffuse nebulous patch, very difficult.",""
"90","2002-04-14 00:00:00","P. Clay Sherrod","ASO - Conway","65P - Gunn","2002/04/14","14.38","4""","2/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","",""
"96","2002-03-04 00:00:00","P. Clay Sherrod","ASO - Conway","65P - Gunn","2002/03/04","14.46","4""","8/9","n/a","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Comet imaged with either a double nucleus (8/9)or adjacent to star of exact magnitude as nucleus (about m2 = 15.4)","comet_65P_0305.jpg"
"99","2002-05-12 00:00:00","P. Clay Sherrod","ASO - Conway","77P - Longmore","2002/05/12","15.93","2""","9/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Comet is stellar in nature; confirmed via 3 images over 42 minute interval and blink comparator.",""
"102","2002-04-16 00:00:00","P. Clay Sherrod","ASO - Conway","77P - Longmore","2002/04/16","15.39","2-4""","2/9","?","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Coma is tight but elongated in a NW-SE direction.",""
"107","2002-04-10 00:00:00","P. Clay Sherrod","ASO - Conway","77P - Longmore","2002/04/10","15.61","2""","3/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Difficult and nearly stellar; confirmed via 3-image blink, 40 minutes.",""
"109","2002-04-05 00:00:00","P. Clay Sherrod","ASO - Conway","77P - Longmore","2002/04/05","15.84","8""","1/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Difficult and nearly stellar; confirmed via 3-image blink, 40 minutes.  Round glow.",""
"110","2002-03-21 00:00:00","P. Clay Sherrod","ASO - Conway","77P - Longmore","2002/03/21","15.35","5""","2/9","","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Difficult and nearly stellar; confirmed via 3-image blink, 40 minutes.",""
"117","2002-05-05 00:00:00","P. Clay Sherrod","ASO - Conway","C/1999 U4 - Catalina-Skiff","2002/05/05","<16.85","","","","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Stellar limiting magnitude below 17.0; nothing noted in series of 3 blinked images over 40 minute interval.",""
"120","2002-05-14 00:00:00","P. Clay Sherrod","ASO - Conway","19P - Borrelly","2002/05/14","<16.43","","","","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Imaged to below 16.43 stellar in deep clear skies; blink images (3) do not reveal any object.",""
"121","2002-05-12 00:00:00","P. Clay Sherrod","ASO - Conway","19P - Borrelly","2002/05/12","15.21","3""","9/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Difficult and nearly stellar; confirmed via 3-image blink, 40 minutes.",""
"122","2002-05-05 00:00:00","P. Clay Sherrod","ASO - Conway","19P - Borrelly","2002/05/05","15.78","2""","2/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Difficult and nearly stellar; confirmed via 3-image blink, 40 minutes.  Excellent deep skies.",""
"123","2002-04-29 00:00:00","P. Clay Sherrod","ASO - Conway","19P - Borrelly","2002/04/29","14.37","4""","2/9","165?","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Appears to be an elongation of coma in PA 165; strongly moonlight.",""
"124","2002-04-16 00:00:00","P. Clay Sherrod","ASO - Conway","19P - Borrelly","2002/04/16","15.01","2""","2/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Difficult and nearly stellar; confirmed via 3-image blink, 40 minutes.  Slightly diffuse in one image.",""
"125","2002-04-22 00:00:00","P. Clay Sherrod","ASO - Conway","19P - Borrelly","2002/04/22","15.29","2""","7/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Difficult and nearly stellar; confirmed via 3-image blink, 40 minutes.",""
"126","2002-04-16 00:00:00","P. Clay Sherrod","ASO - Conway","19P - Borrelly","2002/04/16","14.95","2""","1/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Difficult and nearly stellar; confirmed via 3-image blink, 40 minutes.",""
"127","2002-04-19 00:00:00","P. Clay Sherrod","ASO - Conway","19P - Borrelly","2002/04/19","15.67","2""","1/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Difficult and nearly stellar; confirmed via 3-image blink, 40 minutes; moderate light pollution.",""
"128","2002-04-10 00:00:00","P. Clay Sherrod","ASO - Conway","19P - Borrelly","2002/04/10","16.92","2""","4/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Extremely faint and difficult; nearly stellar; confirmed via 3-image blink, 40 minutes.",""
"129","2002-03-21 00:00:00","P. Clay Sherrod","ASO - Conway","19P - Borrelly","2002/03/21","<15.93","","","","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Stellar limit via two-image (30 min. interval) to 16; no motion of any object to that magnitude so no confirmation.",""
"130","2002-03-13 00:00:00","P. Clay Sherrod","ASO - Conway","19P - Borrelly","2002/03/13","15.29","","","","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Photometric measurements and image only.","19P_0313.JPG"
"131","2002-03-11 00:00:00","P. Clay Sherrod","ASO - Conway","19P - Borrelly","2002/03/11","14.09","","","","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Comet imaged and measured photometrically only.",""
"132","2002-03-06 00:00:00","P. Clay Sherrod","ASO - Conway","19P - Borrelly","2002/03/06","14.04","","","slight","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Comet shows slight tail; imaged and measured photometrically only.","comet_19P_0306.JPG"
"133","2002-03-10 00:00:00","P. Clay Sherrod","ASO - Conway","19P - Borrelly","2002/03/10","14.86","","","","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Comet imaged and measured photometrically only.  A nice bit of tail can be seen in this enhanced image.","comet_19P_0310.jpg"
"135","2002-04-29 00:00:00","P. Clay Sherrod","ASO - Conway","22P - Kopff","2002/04/29","<15.7","","","","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Stellar limiting magnitude reduced to 16; no object with motion (via Blink) noted to that magnitude.",""
"140","2002-04-10 00:00:00","P. Clay Sherrod","ASO - Conway","22P - Kopff","2002/04/10","14.94","4""","2/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Comet distinctly round and diffuse; seemingly brighter than predicted.",""
"142","2002-04-15 00:00:00","P. Clay Sherrod","ASO - Conway","144P - Kushida","2002/04/15","17.03","2""","9/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Difficult and nearly stellar; confirmed via 3-image blink, 65 minutes.  Moderate high haze.",""
"145","2002-06-15 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","2002/06/15","<17.44","n/a","","","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Stellar images to mag. 17.44 recorded easily; three separate images of identified star field were taken and blinked and nothing moving noted.  Curious.",""
"146","2002-06-13 00:00:00","P. Clay Sherrod","ASO - Conway","C/1999 J2 Skiff","2002/06/13","15.56","3""","2/9","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Comet is very round and diffuse; conditions are not good, and object is at the threshold of the CCD.",""
"147","2002-06-15 00:00:00","P. Clay Sherrod","ASO - Conway","C/1999 J2 Skiff","2002/06/15","16.26","12""","4/0","none","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Beautiful night and comet is a very small nebulous spot against and ink-black sky.  No structure seen.",""
"150","2002-06-15 00:00:00","P. Clay Sherrod","ASO - Conway","22P - Kopff","2002/06/15","14.63","9""","3/9","n/a","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Very tiny but nebulous; sky conditions perfect; comet confirmed via blink motion, 3 images, 40 minutes.  Beautiful sky conditions.",""
"152","2002-06-15 00:00:00","P. Clay Sherrod","ASO - Conway","115P Maury","2002/06/15","15.97","12""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Very tiny but nebulous; sky conditions perfect; comet confirmed via blink motion, 3 images, 40 minutes.",""
"153","2002-06-15 00:00:00","P. Clay Sherrod","ASO - Conway","74P Smirnova-Chermykh","2002/06/15","<17.44","n/a","","","0.31m SCT with SBIG STV at f/3.75, 30 sec. exposures","Comet not identified in 17.44 stellar confirmed field, using three blinked images taken over 40 minute interval.",""
